Bloco,Tratamento,DAS,Inoculacao,Rn,Gn,Bn,MPRI,H,S,V,ICVE,Clof A,Clof B,Clorof Total,NDVI
D,0,53,sem,0.229374976,0.422138491,0.348486534,0.295870347,157.0749282,0.456635724,0.407290057,0.917996563,36.4,6.733333333,43.13333333,0.74887
D,0,53,sem,0.231752455,0.420264362,0.347983183,0.289121233,156.9941813,0.448555537,0.406876707,0.920379148,36.66666667,7.233333333,43.9,0.80174
D,0,53,sem,0.267990006,0.398732289,0.333277706,0.196097062,149.9617071,0.327894898,0.453074399,0.906130829,35.93333333,6.7,42.63333333,0.87293
D,0,53,sem,0.291927095,0.389816462,0.318256443,0.143586787,136.1382273,0.251116555,0.419203453,0.866216816,37.03333333,7.166666667,44.2,0.83858
D,0,53,com,0.234224147,0.416972588,0.348803264,0.280634762,157.6186357,0.438274472,0.382445003,0.935419262,36.06666667,5.9,41.96666667,0.77318
D,0,53,com,0.234646897,0.428270232,0.337082871,0.292077738,151.7428602,0.452105519,0.354870133,0.907357339,35.53333333,5.966666667,41.5,0.66578
D,0,53,com,0.242363446,0.418392723,0.339243831,0.266405801,153.0219107,0.420727386,0.378084206,0.917184529,34.4,6.066666667,40.46666667,0.66055
D,0,53,com,0.230515368,0.423258463,0.346226169,0.294816167,156.0202165,0.455379187,0.411762624,0.911065044,35.8,6.166666667,41.96666667,0.66953
D,0,53,com,0.233703764,0.41983515,0.346461086,0.28480536,156.3476546,0.443343979,0.347976174,0.93815803,35.9,5.9,41.8,
A,0,65,sem,0.221010558,0.44352369,0.335465752,0.334840728,150.8625006,0.501693904,0.472701428,0.846659893,33.86666667,5.566666667,39.43333333,0.898571429
A,0,65,sem,0.215337264,0.446629744,0.338032992,0.349401823,151.8287202,0.517861792,0.447852581,0.854921432,34.8,5.633333333,40.43333333,0.890746667
A,0,65,sem,0.215704357,0.448053332,0.336242311,0.350050899,151.1267878,0.518574373,0.429101928,0.857034499,33.23333333,5.066666667,38.3,0.906552632
A,0,65,sem,0.234039757,0.435910487,0.330049755,0.301321973,148.5360828,0.463101338,0.448625741,0.854624767,36.23333333,5.7,41.93333333,0.904023529
A,0,65,sem,0.230188248,0.434811212,0.33500054,0.307703954,150.7332929,0.470601856,0.425192332,0.872142453,36.96666667,6.3,43.26666667,0.907635135
A,0,65,com,0.225711724,0.440741309,0.333546967,0.322647769,150.0894156,0.487881621,0.450971431,0.854212403,34.33333333,5.6,39.93333333,0.903258824
A,0,65,com,0.221587083,0.444502065,0.333910852,0.334662384,150.233168,0.501493693,0.412556791,0.86327855,36.36666667,5.633333333,42,0.884821429
A,0,65,com,0.228649264,0.441858404,0.329492332,0.317981657,148.3786336,0.482528198,0.426489384,0.854653215,35.7,5.933333333,41.63333333,0.9055
A,0,65,com,0.219908978,0.443951592,0.33613943,0.337484442,151.1272353,0.504655503,0.462462553,0.8505564,34.66666667,5.466666667,40.13333333,0.894513514
A,0,65,com,0.221661164,0.443646775,0.334692061,0.333658444,150.5508712,0.50036566,0.440800525,0.856005001,37.7,6.5,44.2,0.865266667
B,0,65,sem,0.229372035,0.44057419,0.330053776,0.3152524,148.6024755,0.479379319,0.408853293,0.862825104,35.03333333,5.166666667,40.2,0.90624359
B,0,65,sem,0.2253073,0.444960289,0.329732411,0.327709399,148.5245681,0.493646274,0.432829557,0.849644546,37.86666667,6.566666667,44.43333333,0.921791667
